true_label,predicted_label,count,representation,split
B cells,Dendritic cells,1,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,Dendritic cells,0,SupDAE-32-head-noise0.10,test
CD4 T cells,Dendritic cells,0,SupDAE-32-head-noise0.10,test
CD8 T cells,Dendritic cells,0,SupDAE-32-head-noise0.10,test
Dendritic cells,Dendritic cells,57,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,Dendritic cells,1,SupDAE-32-head-noise0.10,test
Megakaryocytes,Dendritic cells,0,SupDAE-32-head-noise0.10,test
NK cells,Dendritic cells,0,SupDAE-32-head-noise0.10,test
B cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,FCGR3A+ Monocytes,26,SupDAE-32-head-noise0.10,test
CD4 T cells,FCGR3A+ Monocytes,1,SupDAE-32-head-noise0.10,test
CD8 T cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,test
Dendritic cells,FCGR3A+ Monocytes,1,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,FCGR3A+ Monocytes,260,SupDAE-32-head-noise0.10,test
Megakaryocytes,FCGR3A+ Monocytes,3,SupDAE-32-head-noise0.10,test
NK cells,FCGR3A+ Monocytes,0,SupDAE-32-head-noise0.10,test
B cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
CD4 T cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
CD8 T cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
Dendritic cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,Megakaryocytes,1,SupDAE-32-head-noise0.10,test
Megakaryocytes,Megakaryocytes,18,SupDAE-32-head-noise0.10,test
NK cells,Megakaryocytes,0,SupDAE-32-head-noise0.10,test
B cells,NK cells,0,SupDAE-32-head-noise0.10,test
CD14+ Monocytes,NK cells,0,SupDAE-32-head-noise0.10,test
CD4 T cells,NK cells,0,SupDAE-32-head-noise0.10,test
CD8 T cells,NK cells,23,SupDAE-32-head-noise0.10,test
Dendritic cells,NK cells,0,SupDAE-32-head-noise0.10,test
FCGR3A+ Monocytes,NK cells,0,SupDAE-32-head-noise0.10,test
Megakaryocytes,NK cells,0,SupDAE-32-head-noise0.10,test
NK cells,NK cells,433,SupDAE-32-head-noise0.10,test
